Date,Month,Quarter,Product,Category,Region,Customer Segment,Units Sold,Revenue,Cost,Profit,Discount,Acquisition Channel
2024-01-01 00:00:00,Jan,Q1,Eco Basics,Essentials,North,Value Seekers,97,2240.744850118992,1379.8176036398877,860.9272464791043,0.08619221345251732,Organic Search
2024-01-01 00:00:00,Jan,Q1,Eco Basics,Essentials,North,Value Seekers,95,2053.8342225866227,1293.435128939555,760.3990936470677,0.08414657607627049,Email
2024-01-01 00:00:00,Jan,Q1,Eco Basics,Essentials,North,Value Seekers,75,1365.5752892983578,804.257586338284,561.3177029600738,0.16604905678915086,Paid Social
2024-01-01 00:00:00,Jan,Q1,Eco Basics,Essentials,North,Value Seekers,90,1782.263393454008,1059.6955545695541,722.567838884454,0.12594281176897568,Paid Search
2024-01-01 00:00:00,Jan,Q1,Eco Basics,Essentials,North,Mainstream,89,1924.5853459626912,1174.384116240973,750.2012297217182,0.0516882051171981,Organic Search
2024-01-01 00:00:00,Jan,Q1,Eco Basics,Essentials,North,Mainstream,85,1851.7782621889621,1138.3797839456522,713.3984782433099,0.07277306474274665,Email
2024-01-01 00:00:00,Jan,Q1,Eco Basics,Essentials,North,Mainstream,80,1550.9292365081255,984.538887780431,566.3903487276946,0.13966256938155167,Paid Social
2024-01-01 00:00:00,Jan,Q1,Eco Basics,Essentials,North,Mainstream,73,1483.049233154972,924.7457128441682,558.3035203108037,0.08947890875072444,Paid Search
2024-01-01 00:00:00,Jan,Q1,Eco Basics,Essentials,North,Premium,63,1425.5877482105593,845.9246728618482,579.6630753487111,0.04710879294029399,Organic Search
2024-01-01 00:00:00,Jan,Q1,Eco Basics,Essentials,North,Premium,64,1473.6342731005593,866.8878741620357,606.7463989385236,0.05200389479013229,Email
2024-01-01 00:00:00,Jan,Q1,Eco Basics,Essentials,North,Premium,42,880.2908212283164,562.1167386557474,318.174082572569,0.12307694999235104,Paid Social
2024-01-01 00:00:00,Jan,Q1,Eco Basics,Essentials,North,Premium,59,1148.0433841672343,705.3970921805101,442.64629198672424,0.14328200297790497,Paid Search
2024-01-01 00:00:00,Jan,Q1,Eco Basics,Essentials,South,Value Seekers,92,2066.375156499264,1240.002741138602,826.372415360662,0.058020644053867754,Organic Search
2024-01-01 00:00:00,Jan,Q1,Eco Basics,Essentials,South,Value Seekers,80,1800.0696415071402,1148.558901601911,651.5107399052292,0.06009483439798324,Email
2024-01-01 00:00:00,Jan,Q1,Eco Basics,Essentials,South,Value Seekers,56,1147.5133818446006,710.7183012763035,436.7950805682972,0.16903489013771036,Paid Social
2024-01-01 00:00:00,Jan,Q1,Eco Basics,Essentials,South,Value Seekers,70,1348.7043882654789,828.9378152620519,519.766573003427,0.17911609139535015,Paid Search
2024-01-01 00:00:00,Jan,Q1,Eco Basics,Essentials,South,Mainstream,67,1555.6345664025207,1005.8765662762089,549.7580001263118,0.0445082028040622,Organic Search
2024-01-01 00:00:00,Jan,Q1,Eco Basics,Essentials,South,Mainstream,59,1297.443485279319,792.696935540126,504.74654973919303,0.05704324454315882,Email
2024-01-01 00:00:00,Jan,Q1,Eco Basics,Essentials,South,Mainstream,75,1486.0410436678471,907.1750297642714,578.8660139035758,0.16288505294255187,Paid Social
2024-01-01 00:00:00,Jan,Q1,Eco Basics,Essentials,South,Mainstream,74,1464.6918292399907,899.4703008890804,565.2215283509104,0.1328316858278339,Paid Search
2024-01-01 00:00:00,Jan,Q1,Eco Basics,Essentials,South,Premium,43,981.6481421664618,608.7122012170424,372.9359409494193,0.0574030069266144,Organic Search
2024-01-01 00:00:00,Jan,Q1,Eco Basics,Essentials,South,Premium,43,954.227421124072,577.8410116434801,376.38640948059185,0.06413532166562133,Email
2024-01-01 00:00:00,Jan,Q1,Eco Basics,Essentials,South,Premium,54,1033.3872674647855,645.4907931292297,387.8964743355558,0.18715464753026329,Paid Social
2024-01-01 00:00:00,Jan,Q1,Eco Basics,Essentials,South,Premium,60,1154.9837595362628,715.5387151926511,439.4450443436117,0.11813885210584582,Paid Search
2024-01-01 00:00:00,Jan,Q1,Eco Basics,Essentials,East,Value Seekers,86,2081.6326676278004,1283.40460630047,798.2280613273304,0.07150575524852566,Organic Search
